,pack_id,path,sort,length,width,height,k,volume,day,b_hist_0.0_25.5,b_hist_102.0_127.5,b_hist_127.5_153.0,b_hist_153.0_178.5,b_hist_178.5_204.0,b_hist_204.0_229.5,b_hist_229.5_255.0,b_hist_25.5_51.0,b_hist_51.0_76.5,b_hist_76.5_102.0,b_median,b_std,g_hist_0.0_25.5,g_hist_102.0_127.5,g_hist_127.5_153.0,g_hist_153.0_178.5,g_hist_178.5_204.0,g_hist_204.0_229.5,g_hist_229.5_255.0,g_hist_25.5_51.0,g_hist_51.0_76.5,g_hist_76.5_102.0,g_median,g_std,h_hist_0.0_25.5,h_hist_102.0_127.5,h_hist_127.5_153.0,h_hist_153.0_178.5,h_hist_178.5_204.0,h_hist_204.0_229.5,h_hist_229.5_255.0,h_hist_25.5_51.0,h_hist_51.0_76.5,h_hist_76.5_102.0,h_median,h_std,r_hist_0.0_25.5,r_hist_102.0_127.5,r_hist_127.5_153.0,r_hist_153.0_178.5,r_hist_178.5_204.0,r_hist_204.0_229.5,r_hist_229.5_255.0,r_hist_25.5_51.0,r_hist_51.0_76.5,r_hist_76.5_102.0,r_median,r_std,s_hist_0.0_25.5,s_hist_102.0_127.5,s_hist_127.5_153.0,s_hist_153.0_178.5,s_hist_178.5_204.0,s_hist_204.0_229.5,s_hist_229.5_255.0,s_hist_25.5_51.0,s_hist_51.0_76.5,s_hist_76.5_102.0,s_median,s_std,v_hist_0.0_25.5,v_hist_102.0_127.5,v_hist_127.5_153.0,v_hist_153.0_178.5,v_hist_178.5_204.0,v_hist_204.0_229.5,v_hist_229.5_255.0,v_hist_25.5_51.0,v_hist_51.0_76.5,v_hist_76.5_102.0,v_median,v_std
0,2020_01_21_22_224923_М636МВ_1,part_1/21/224923_М636МВ10/FrontJPG/front6.jpg,1,600.0,236.0,182.0,0.54,13.916448,21,3968310.0,5454807.0,4652602.5,3215958.0,1992238.5,1098438.0,405781.5,15934261.5,10276168.5,5878234.5,66.0,53.03154285981569,2587791.0,4854129.0,4432818.0,4597471.5,3206421.0,2218551.0,792463.5,15595774.5,9286207.5,5305173.0,72.0,60.115620413638446,34308541.5,8018143.5,3601773.0,2259172.5,24072.0,0.0,0.0,3760893.0,301894.5,602310.0,20.0,51.89002302441912,631558.5,4877181.0,4367844.0,5150388.0,4526301.0,3104242.5,1314601.5,14510367.0,9378874.5,5015442.0,86.0,63.34310167751794,6368370.0,5655568.5,2030488.5,476773.5,51051.0,5788.5,688.5,15999465.0,13011375.0,9277231.5,58.0,34.5600790174891,436891.5,5050810.5,4722166.5,5265061.5,4555269.0,3142008.0,1335180.0,13438500.0,9731488.5,5199424.5,89.0,62.72694176681161
1,2020_01_21_22_224923_М636МВ_2,part_1/21/224923_М636МВ10/FrontJPG/front29.jpg,1,600.0,236.0,180.0,0.54,13.763520000000002,21,1882206.0,5601202.5,4667341.5,3831783.0,2361912.0,1051747.5,680569.5,15902463.0,10222797.0,6674778.0,71.0,53.886639164757376,2043442.5,5802193.5,4188732.0,4170168.0,3298042.5,1454749.5,852312.0,16900915.5,8825422.5,5340822.0,71.0,58.07092027305703,25416028.5,14221783.5,2511852.0,4458063.0,106717.5,0.0,0.0,3876178.5,858738.0,1427439.0,30.0,57.34894826408475,422917.5,5076820.5,4504294.5,4790583.0,3975093.0,2051500.5,1231752.0,16672792.5,8844318.0,5306728.5,79.0,60.954544410977775,11896387.5,2058768.0,565105.5,128928.0,28177.5,5125.5,892.5,15444967.5,15249739.5,7498708.5,49.0,29.658186164102425,278052.0,5422804.5,4873764.0,5045430.0,4085865.0,2226889.5,1354407.0,14192739.0,9442089.0,5954760.0,86.0,60.12758067770761
2,2020_01_21_06_064710_М571ОМ_1,part_1/21/064710_м571ом10/FrontJPG/front14.jpg,0,300.0,226.0,176.0,0.64,7.636992,21,2566957.5,3823623.0,2059150.5,1333777.5,1627588.5,1018648.5,1658035.5,16908336.0,13826125.5,8054557.5,62.0,53.60833691358506,4437663.0,4466529.0,2402712.0,1602777.0,1512150.0,1079083.5,1545274.5,16030855.5,12883186.5,6916569.0,61.0,54.32764511658698,19581399.0,7690468.5,1860684.0,12013993.5,516579.0,0.0,0.0,2796406.5,1943100.0,6474169.5,90.0,65.85985177375942,1952356.5,6418783.5,5228928.0,4233076.5,1751161.5,952807.5,1310853.0,8668954.5,12663402.0,9696477.0,84.0,52.89296603380056,10556286.0,5672551.5,2729698.5,2218984.5,1720893.0,1576818.0,113398.5,12024193.5,9392058.0,6871918.5,60.0,54.122925045335336,1340994.0,6925825.5,5536968.0,3887449.5,2250196.5,1247485.5,1719618.0,7698450.0,12264888.0,10004925.0,88.0,54.457243602178686
3,2020_01_21_06_064710_М571ОМ_2,part_1/21/064710_м571ом10/FrontJPG/front24.jpg,0,300.0,226.0,186.0,0.6,7.56648,21,3234394.5,3148485.0,1871139.0,1206660.0,1565878.5,1018368.0,1758225.0,19251403.5,13366692.0,6455554.5,56.0,54.77775366604229,3558805.5,3959971.5,2428263.0,1315519.5,1424455.5,1119960.0,1590435.0,16685950.5,14054682.0,6738757.5,60.0,53.781559693378775,24185194.5,9118239.0,1650385.5,5576926.5,454129.5,0.0,0.0,2547756.0,1490653.5,7853515.5,46.0,58.71566805229936,2340084.0,6763951.5,3208231.5,2355460.5,1255824.0,1033540.5,1265029.5,13275070.5,12827494.5,8552113.5,72.0,51.80249916395229,8446900.5,6479805.0,4609839.0,759135.0,278817.0,30727.5,1453.5,12993091.5,11631213.0,7645818.0,61.0,41.11806483024363,1538823.0,7073445.0,3528333.0,1901229.0,1834419.0,1243533.0,1806547.5,10623351.0,14051851.5,9275268.0,77.0,53.97965375228405
4,2020_01_21_06_064710_М571ОМ_3,part_1/21/064710_м571ом10/FrontJPG/front40.jpg,0,300.0,226.0,170.0,0.6,6.9156,21,3356743.5,3419371.5,1861117.5,1139034.0,1589619.0,1088722.5,1856986.5,17977117.5,13494319.5,7093768.5,58.0,55.210380819163596,4894521.0,3646347.0,2011057.5,1404591.0,1328346.0,1015894.5,1557285.0,16798482.0,13290625.5,6929650.5,58.0,53.634260276408845,17509957.5,15123234.0,3680542.5,8244150.0,271396.5,0.0,0.0,1570392.0,906423.0,5570704.5,103.0,59.73829968816875,3881074.5,5930050.5,2244918.0,1930375.5,1309833.0,713592.0,1160938.5,13187937.0,14224792.5,8293288.5,66.0,50.33509114990314,6610875.0,6471492.0,1985481.0,481134.0,101413.5,64770.0,6094.5,15435813.0,12886374.0,8833353.0,58.0,35.79682790113232,2323764.0,6489112.5,2660517.0,1679940.0,1872337.5,1221144.0,1882869.0,11116954.5,14506083.0,9124078.5,73.0,54.834528235261885
5,2020_01_21_06_064710_М571ОМ_4,part_1/21/064710_м571ом10/FrontJPG/front53.jpg,0,300.0,226.0,180.0,0.6,7.3224,21,2491375.5,3250689.0,1770643.5,1137453.0,1609764.0,1061692.5,1928284.5,17857216.5,14830009.5,6939672.0,58.0,54.90120225964148,3935695.5,3557607.0,2015673.0,1257150.0,1259776.5,1060647.0,1568377.5,14876190.0,16340298.0,7005385.5,61.0,52.4840108393985,19916851.5,15472150.5,2227960.5,5844141.0,316225.5,0.0,0.0,1365550.5,1199545.5,6534375.0,99.0,57.57708715637762,3695001.0,5621679.0,2301808.5,1769470.5,1146837.0,663994.5,1140181.5,11592708.0,13586043.0,11359077.0,72.0,48.61287492501389,5560453.5,6940896.0,3295467.0,2294235.0,416440.5,100291.5,10276.5,11939355.0,13125538.5,9193846.5,68.0,41.410878208723716,1388271.0,6159958.5,2685787.5,1571335.5,1735173.0,1175524.5,1950826.5,9113751.0,14062944.0,13033228.5,80.0,52.637558310478646
6,2020_01_21_06_064710_М571ОМ_5,part_1/21/064710_м571ом10/FrontJPG/front64.jpg,0,300.0,226.0,182.0,0.64,7.897344,21,1736346.0,3887755.5,1979616.0,1398267.0,1661503.5,1059295.5,1938025.5,15253207.5,15274959.0,8687824.5,66.0,54.33502021773522,3717568.5,4595635.5,2227399.5,1478541.0,1415785.5,1093899.0,1572636.0,13570794.0,14541859.5,8662681.5,66.0,52.88556623265537,17841304.5,17152855.5,3330861.0,4891410.0,129004.5,0.0,0.0,1278111.0,1652400.0,6600853.5,101.0,54.25957786157266,4041546.0,6111381.0,2654524.5,1729359.0,1310904.0,743248.5,1163055.0,11452866.0,13496130.0,10173786.0,72.0,49.91673406333718,6602664.0,5520367.5,1393422.0,445612.5,96288.0,65662.5,8925.0,15057699.0,13803277.5,9882882.0,59.0,34.40457692709774,1577812.5,6751380.0,2913528.0,1728517.5,1957405.5,1231599.0,1965514.5,9164445.0,13867690.5,11718907.5,80.0,53.80897696570771
7,2020_01_21_00_001320_М636МВ_1,part_1/21/001320_М636МВ10/FrontJPG/front7.jpg,1,600.0,236.0,220.0,0.54,16.82208,21,2965573.5,5894044.5,5276307.0,3951837.0,1423282.5,455149.5,319209.0,12312726.0,12571525.5,7707145.5,72.0,48.537356104886136,2544849.0,5741248.5,4280226.0,4445134.5,2849650.5,853663.5,391042.5,12245737.5,12671944.5,6853303.5,74.0,52.423968115935175,28336212.0,8941320.0,1424965.5,3731619.0,247120.5,0.0,0.0,5519016.0,1602726.0,3073821.0,22.0,53.29632225492217,1615374.0,5834757.0,4687359.0,5079319.5,3630052.5,1800963.0,597618.0,11171116.5,12312496.5,6147744.0,82.0,56.70847671396159,11122896.0,3340959.0,1497742.5,1106929.5,1372104.0,457189.5,1198.5,16406853.0,11379222.0,6191706.0,49.0,43.79358370923311,798711.0,6692449.5,5609158.5,5732068.5,3804727.5,1920328.5,650683.5,8962740.0,12210420.0,6495513.0,93.0,55.46043865593872
8,2020_01_21_00_001320_М636МВ_2,part_1/21/001320_М636МВ10/FrontJPG/front33.jpg,1,600.0,236.0,206.0,0.54,15.751584,21,601009.5,6642163.5,4485985.5,3732919.5,2079295.5,1090507.5,417103.5,12666844.5,12380224.5,8780746.5,79.0,49.57321875350923,881917.5,6269302.5,4864941.0,4370649.0,2939742.0,1283644.5,422688.0,12697087.5,11358898.5,7787929.5,81.0,52.70151917475438,23348361.0,11453070.0,2532379.5,5145900.0,130356.0,0.0,0.0,3851086.5,1649748.0,4765899.0,42.0,56.81345386807028,487509.0,5746756.5,5097399.0,4906990.5,3653410.5,1753456.5,708007.5,10833318.0,11950447.5,7739505.0,86.0,55.130080530433744,14134905.0,2083248.0,622914.0,74077.5,10837.5,4921.5,1326.0,19937098.5,12013585.5,3993886.5,40.0,28.355156457912916,64387.5,6187753.5,5156151.0,5311752.0,3850525.5,2287579.5,836706.0,9998626.5,11389906.5,7793412.0,92.0,55.87471519441843
9,2020_01_21_15_153115_М434РУ_1,part_1/21/153115_М434РУ10/FrontJPG/front17.jpg,1,600.0,229.0,240.0,0.52,17.14752,21,3913306.5,5577691.5,3482968.5,1179400.5,320739.0,5326159.5,1298434.5,13209051.0,11654341.5,6914707.5,70.0,61.44062558254701,4941466.5,5541328.5,4199620.5,1760137.5,3967672.5,2087838.0,725373.0,13982364.0,9293602.5,6377397.0,71.0,59.481983648353484,21388660.5,15909399.0,2150670.0,10279330.5,247987.5,0.0,0.0,1237260.0,532057.5,1131435.0,103.0,64.79010965768052,2865282.0,6575149.5,5713096.5,5308539.0,3190789.5,1200718.5,570970.5,11490147.0,8739156.0,7222951.5,88.0,55.3923866592241,13011961.5,3113499.0,1336633.5,837114.0,735853.5,107686.5,22593.0,16503243.0,11148676.5,6059539.5,46.0,39.36712717987499,2041785.0,6656163.0,5727835.5,3488043.0,492838.5,5331387.0,1307640.0,10466092.5,9656875.5,7708140.0,90.0,60.35979353611977
